,company,industry,rank,job_title,location,salary_range,link,description,search_city,search_job
0,Stamps.com,Information Technology,3.7,Senior Data Scientist,"Austin, TX",$94K - $150K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1187695&s=149&guid=00000178c31ac006a75b864a49699550&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_56ae4187&cb=1618181013948&jobListingId=3775647577,"Here at ShipStation, part of Auctane, we're passionate about helping online businesses become more productive. We save thousands of merchants hours every day by automating the fulfillment side of their business. We partner with top eCommerce and shipping companies to make a previously complicated and labor-intensive process simple and enjoyable.

As a Senior Data Scientist, you will solve challenging logistics and optimization problems to make our customers more successful. You will analyze large amounts of data from a variety of sources, discover and solve real world problems, and develop metrics and business cases that will enable us to continually delight ShipStation customers. The ideal candidate will be a self-starter, highly analytical, and intensely detailed with a strong customer focus.

Responsibilities:

Work with the Director of Data Science to plan, implement, and support machine learning projects to help our customers work and ship more efficiently

Communicate the results and methodology effectively within the team and to stakeholders across the business
Stay on top of innovations and technologies in the world of machine learning
Collaborate with people in our Product and Engineering teams to put your work in the hands of customers
Participate in regular project reviews
Provide feedback to other members of the team
Mentor junior members of the team

Use visualization, reporting and other tools to improve the ways in which our team accesses and interprets datasets.
Measure and continuously improve the accuracy of predictive models.
Effectively document and communicate methodologies and results.
Use data to inform and influence the direction of product roadmap.

Required Education and/or Experience:

Bachelor’s degree in Computer Science, Math or equivalent years of relevant work experience
Five plus (5+) years of quantitative experience with large data-sets, from prototyping to business impact
Two plus (2+) years’ experience with SQL and relational databases (e.g. PostgreSQL, MySQL, SQL Server)

Skills and Knowledge:

Solid understanding of machine learning and statistical methods with their underlying theory and math.
Demonstrated work in building, deploying, and demonstrating business value from predictive models and data products.
Solid software development experience, including translating ML models into production software.

Skills and Knowledge:

Strong and persuasive communication skills.
Knowledge of geospatial analysis
Knowledge of AWS/GCP/Azure
Working knowledge with NLP a strong plus

Computer/Software/Application Proficiency:


Python, R, Scala, Git Docker
SQL; (e.g. PostgreSQL, MySQL, SQL Server)

Equal Opportunity Employer/Veterans/Disabled

If you are based in California, we encourage you to read this important information about the ShipStation Privacy Policy for California residents linked here.

#LI-JF1",aus,ds
1,Oxford Global Resources,Business Services,3.6,Data Scientist,"Austin, TX",$95K - $123K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044076&s=149&guid=00000178c31ac006a75b864a49699550&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_660d570e&cb=1618181013950&jobListingId=4057116000,"Job Description This position will work with marketers and data scientists to develop scalable machine learning models for physical retail and digital sales channels. Looking for strong data and technical skills - the right candidate for this position will have a strong understanding of business and marketing performance.Responsibilities Build, maintain and evolve models that measures causal impact of marketing activities like media, promotions, and pricing.Understand various experiment set up for A/B testing and causal inferencing techniques.Manage modeling processes from end-to-end including data gathering, data validation, model building, calibration, cross-validation, and maximizing model accuracy. Interpret and validate model results with statistical checks. Design reports, data visualizations and presentations to track model performance and communicate business impact to marketing leadership teams.Translate strategic business questions into analyses that inform business decisions.Explain complex modeling approaches in simple terms; Develop compelling narratives that connect modeling results with marketing problems.Work closely with marketing teams to ensure that analytical products support organizational goals and solve key business problems.Build & maintains strong working relationships across departments or teams based on trust and mutual respect. Communicate with senior stakeholder to balance stakeholder and analytics perspectives.Desired Skills & ExperienceMaster’s degree in a quantitative discipline (e.g., data science, statistics, applied mathematics, or economics). PhD preferred.5+ years of hands-on experience developing advanced marketing measurement methods; proficiency with predictive modeling techniques.Working knowledge of supervised (GLM, Classification models, Ensemble techniques, Regularization techniques, Bayesian Models, Hierarchical models etc.) and unsupervised models (Clustering, Principal Component Analysis, etc.).Very strong programming skills in Python, with strong SQL skills. Knowledge of AWS.Experience working with enterprise scale databases, with demonstrated ability to independently query and prepare data for analysis.Self-directed, innovative thinker. In addition to a strong attention to detail, strong candidates will also be able to see the strategic implications for the business in the big picture. You are fluent in telling the story to both technical and non-technical audiences.Strong candidates will have a curious mind, a passion for synthesizing information from multiple sources, the ability to interpret data through the lens of shopper behavior, and a habit of translating data into insights that drive action.Strong communication and presentation skills and ability to partner with internal stakeholders to shape marketing strategy and planning.Experience with various types of marketing data, including data regarding media (e. g., IRI, Kantar, Nielsen) and digital audience (e. g., DMPs), ad-serving (e.g., Google DCM, Atlas), and digital clickstream (e.g., Google Analytics, Adobe).Job Types: Full-time, ContractPay: From $60.00 per hourSchedule:Monday to FridayEducation:Master's (Required)Experience:Python: 3 years (Required)SQL: 3 years (Required)developing advanced marketing measurement methods: 5 years (Preferred)predictive modeling techniques: 5 years (Preferred)Full Time Opportunity:NoWork Location:One locationCompany's website:https://www.oxfordcorp.com/en-usWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview process",aus,ds
2,Thermo Fisher - America,Biotech & Pharmaceuticals,3.8,Scientist II - Molecular Biology (Marketing Support),"Austin, TX",$61K - $67K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_73dcd333&cb=1618181013953&jobListingId=4054749944,"Scientist II will be supporting and promoting the Thermo Fisher Scientific portfolio of reagents and kits for nucleic acid purification, and exploring the new downstream applications.Strong laboratory and technical skills required.Pipet and perform procedures reproduciblyPerform a dilution series to create a standard curvePerform lab calculations needed to make solutions from powder or from stock solutions and able to make the buffers from recipesOperate most basic lab equipment such as computers, centrifuges, electrophoresis, UV light box and camera, Agilent Bioanalyzer, PCR and qPCR instruments, plate reader.Able to exercise independent judgment within generally defined procedures, laboratory methods and techniques.Maintain accurate and detailed lab notebooks and appropriate documentation based on the scientific method enabling other scientists to reproduce their experiments- - Strong theoretical understanding of the procedures.Basic knowledge of Word, Excel, Powerpoint, e-mail and searching the internet.Exceptional writing & presentation skills. Able to communicate scientific data to scientists and non-scientistsFluent in English.Works well in a team setting.Strong multi-tasking skills.Shows initiative by taking on new tasks, beyond what is generally expected.Requirements:Bachelors or Masters degree in biological science, chemistry, biochemistry or related field. At least 3 years laboratory experience in either academic or industry setting. Industrial experience in product development environment and/or marketing experience is a plus.",aus,ds
3,Plum Lending,Finance,4.1,Senior Machine Learning Engineer - Work From Home,"Austin, TX",$111K - $133K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_6fd51b18&cb=1618181013953&jobListingId=4053831883,"Senior Machine Learning EngineerJOB SUMMARYWe are looking for a data-driven problem solver who can automatically discover and extract information from multiple data sources and who enjoys working with new data science technologies. The senior machine learning engineer will work to recognize patterns and productize your solutions and techniques for integration into our products and our processes. You will have a high degree of authority and autonomy, be capable of managing multiple high-priority tasks in a timely manner, and collaborate across the business. A successful machine learning engineer at Plum needs to be innovative, detail-oriented, team-focused, strategic and effective in new and changing environments.We are looking for the candidate to start immediately.Plum employees work full time from their US based home.RESPONSIBILITIES Participate heavily in architecture, design and implementation of machine learning pipelines Develop, refine and scale data management and analytics procedures, systems, workflows, best practices and other issues. Development of data-driven products. Visualize and communicate data clearly for use both internally and externally. Collaborate with our engineers to produce excellent products for Plum clients as well as streamline internal processes.REQUIRED QUALIFICATIONS Bachelor’s degree in Mathematics, Statistics, Engineering, Computer Science or related discipline 2+ years of production-level machine learning model deployment Experience in working with big data technologies Spark, MapReduce, NoSQL databases Experience with AWS infrastructure such as EC2, S3 and Glue Hands-on Industry experience with machine learning frameworks like SageMaker, TensorFlow High proficiency in Java Knowledge of both neural networks and traditional ML techniques Experience with data visualization tools like Tableau An entrepreneurial spirit as well as passion for solving difficult challenges through innovation and creativity, with a strong focus on results Conscientious and well organized Eager to produce results and drive forward progress while managing deadlinesPREFERRED QUALIFICATIONS Experience in working with graph database such as TigerGraph or Neo4j Have worked in a fast paced startup environment Experience with finance technology/analytics and commercial real estateBENEFITS Early equity in a startup that is revolutionizing commercial real estate lending.Fully Remote Role Generous health, dental and vision coverage for employees and family members, along with commuter pre-tax program. Unlimited vacation policy. Opportunity to make a meaningful impact on the disruption of an industry and to shape the building of a company and culture. Chance for your direct input to be realized and put into action. Freedom to stretch the boundaries of your past work experience, learn skills outside of your immediate job description and grow your career. Autonomy, flexibility and a flat corporate structure.ABOUT PLUMPlum is leading the transformation of commercial real estate lending through innovative and breakthrough technology, pioneering the fintech revolution within the $3.3 trillion CRE loan market. We deliver to our clients expedited execution, improved transaction visibility and an unparalleled client experience.The team includes former senior level executives and talent from Wells Fargo, KKR, Starwood Capital, Goldman Sachs and AMD. We have extensive experience with CRE sourcing, underwriting and funding processes, as well as deep networks of institutional financing channels. The team has a combined 75 years of CRE lending experience in the U.S. with deal volume totaling over $50 billion, and team members have sourced and underwritten 1,570 CRE loans across virtually all property types and geographic markets. Our founder and CEO, Bill Fisher, has had decades of experience building successful startup businesses including GetSmart.com, Xing and Trivago.In August 2015 Plum secured our Series A funding led by Renren Inc., who has built an exceptional record of backing fintech companies including SoFi, LendingHome and Motif Investing. Renren’s decision follows an earlier seed investment by QED Investors, a pre-eminent VC firm led by the founders of Capital One, whose portfolio includes Prosper, Orchard and ApplePie Capital.We are an early stage, high growth company with endless opportunities for advancement for individuals that are driven to deliver tangible results and do whatever it takes to move Plum forward. We seek to build Plum into a new national financial services brand as well as a fantastic place to come to work. Must be authorized to work in the US. Plum does not sponsor employee visas.",aus,ds
4,Zilliant,Information Technology,3.7,Data Scientist,"Austin, TX",$113K - $149K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136006&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_9b616dd6&cb=1618181013955&jobListingId=4054408757,"The primary role of a Zilliant Data Scientist is to effectively configure the scientific models which support Zilliant’s price optimization and predictive modeling solutions. To do so, the scientist must be comfortable with independent interactions with clients, guiding clients towards Zilliant’s best design practices, and effectively communicating the value of Zilliant’s products. The role also relies heavily on personal accountability for results and a collaborative approach that brings the best of Zilliant to every customer.Responsibilities Include:Ensure Zilliant’s optimization and predictive models are configured to meet our client’s strategic objectives.Travel to client offices to present scientific concepts and model results to senior executives.Leverage an array of software tools to analyze large client datasets.Working with cross-functional teams within Zilliant on multiple projectsKey Requirements:Advanced Degree in an applied mathematics subject such as Data Science, Operations Research, Industrial Engineering, Statistics or a related discipline.Experience using SQL to analyze large datasets.Experience implementing data science routines in R or Python.Excellent oral and written communication skillsStrong presence and confidence in front of executivesDesirable Skills and Experience:Academic or industry exposure to B2B or B2C pricing and revenue optimization.Academic or industry exposure to machine learning methods.Experience using data visualization tools such as Tableau.",aus,ds
5,eBay,Information Technology,4,Data Scientist,"Austin, TX",$92K - $149K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133559&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_21f184c8&cb=1618181013955&jobListingId=3820929520,"At eBay, you will be part of a purpose driven community dedicated to creating a bold and versatile work environment. In eBay Payments, you will be an integral member of a growing organization that inspires passion, courage and inventiveness - creating the future of global commerce and making an important, positive impact on millions of eBay sellers and shoppers around the world. If you are looking for a special place to take your Payments career to the next level, we want to talk with you!

Risk Management is at the core of Payments done well and we are hiring curious, driven, and courageous experts to transform our business unit to enable eBay's next generation Payments strategy. Our focus is to ensure the integrity of our marketplace for buyers and sellers who transact with us every single day. The scope of our charter includes Risk Management Strategy, Policy, Decision Sciences, and Policy Operations.

We are looking for a highly talented and self-motivated data scientist to join our Decision Science team. Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for fraud detection and risk assessment in support of Risk Management. The primary responsibility of this role is to assist in algorithm development inside of a high throughput, low latency, big data environment.

Primary Job Responsibilities

The senior data scientist will support the risk department, leveraging big data technologies to aggregate and structure data, perform statistical analysis, and build algorithmic solutions to reduce fraud, monitor our buyers and sellers, and intermediate payments to improve the overall eBay experience.

As a member of the decision science team, you will research and develop new methodologies and techniques to improve the overall effectiveness of risk management. Mine and analyze massive amount of unique internal and external data to gain deep business knowledge and insight on customer activity and usage behaviors and their relationships with fraud, credit risks, and other types of behaviors. Acts as the technical owner of projects that may require significant customization of existing analytic tools, techniques, processes or development of new ones. Perform statistical data analysis and understanding, ensure data quality, and develop tracking and reporting systems to determine the effectiveness of models, rules, and other risk initiatives and programs. Design and create systems to structure, aggregate, and turn petabytes of messy information into statistically significant features for modeling purposes.

Problem sets are focused around fraud and risk management to include models to prevent fraudsters from listing, monetizing, and violating platform policies.

Required Skills and Experience:

Bachelors degree in a quantitative field: engineering, math, statistics etc. MS/PHD preferredMS + 8, PHD + 5 years minimumExperience in Deep Learning (NLP, Image specific) deployed in High volume, low latency, user facing applications. Big Data technology: Hadoop framework: Hive, Spark, etc.Expertise in machine learning packages Python, R,SASStrong knowledge of 1 or more scripting and programming languages (Python, Java, Scala, etc.)Background in a variety modeling techniques: GBM, logistic regression, clusteringStrong analytical skills with good problem solving abilityGood presentation and communication skills required

#LI-AC1

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see: EEO is the Law Poster and EEO is the Law Poster Supplement

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy and accessibility info",aus,ds
6,IBM,Information Technology,3.9,Data Scientist,"Austin, TX",$85K - $125K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136006&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_7a0a0cdd&cb=1618181013956&jobListingId=4056560805,"IntroductionClient Technical Specialists (CTP) are the technical experts and advisors to clients, IBM sales teams and/or IBM Business Partners. As a CTP you understand the client's business requirements, technical requirements and/or competitive landscape. You apply your business insights, build and maintain client relationships, incorporate hardware, software and services into client-valued solutions and ensure client readiness for the implementation of technical solutions. This is an opportunity to shape the future for both IBM and its clients. Start your journey now!Your Role and ResponsibilitiesYour Role and Responsibilities:As a Data Scientist working at the IBM Garage, you will be the Subject Matter Expert on Data and AI Statistical models and how they apply to business problems.Led by a solution architect, you will advise on and help implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, and other quantitative approaches.You will act as a key contributor partnering with clients to understand business problems and propose solutions.You will deliver meaningful insights and predicts emerging trends to inform business solutions that optimize client value.You will contribute to co-creation of rapid proofs of concept and minimally viable solutions that demonstrate business value, leading to client investment in strategic solutions.To be successful in this role you:are familiar with Data Engineering techniques to gather, prepare, cleanse, and transform client data for analysis and AI automation, including automating data pipelinesDemonstrate strong business acumen and ability to understand business problems, formulate hypotheses and test conclusions to influence solution designLeverage a variety of structured and unstructured data sources, analytics, AI tools, and programming languages to derive meaningful data insights (e.g., Python, R, Spark, TensorFlow, Jupyter, etc.)Possess relevant industry and/or business domain knowledge such as Finance or Health Care which you will apply to shape solutionsWork in an Agile fashion, iterating on the design to react to client feedback and demonstrate rapid progressExpand partnerships at all levels of the client organization to identify new opportunities for data science applicationsIBMReferred_NorthAmericaRequired Technical and Professional ExpertiseTechnical degree in Computer Science or another field relevant to Data Science1+ years of experience working with Machine Learning, Optimization, Neural Networks and/or Artificial Intelligence1+ years of experience with a Data Science programming language such as Python, R, machine learningDeep understanding of StatisticsFluent in EnglishAbility to Travel 50% and conduct Client Facing/Technical SolutionsPreferred Technical and Professional ExpertiseExperience with Jupyter NotebooksDeep understanding of Statistical Machine Learning Models with Python or RSupporting Relevant business domain knowledge such as Finance or Health CareNONEAbout Business UnitIBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.Impact. Inclusion. Infinite Experiences. Do your best work ever.About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.Location StatementIBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.IBM intends this job to be performed entirely outside of Colorado.Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",aus,ds
7,"iHeartMedia, Inc.",Media,3.2,Data Scientist,"San Antonio, TX",$64K - $108K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136006&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5141e25&cb=1618181013956&jobListingId=3691245147,"Current employees and contingent workers click here to apply and search by the Job Posting Title.iHeartMediaJob Summary:iHeartMedia is the number one audio company in the United States, reaching nine out of 10 Americans every month – and with its quarter of a billion monthly listeners, has a greater reach than any other media company in the U.S. The company’s leadership position in audio extends across multiple platforms including 850 live broadcast stations; streaming music, radio and on demand via its iHeartRadio digital service available across more than 250 platforms and 2,000 devices including smart speakers, digital auto dashes, tablets, wearables, smartphones, virtual assistants, TVs and gaming consoles; through its influencers; social; branded iconic live music events; and podcasts as the #1 commercial podcast publisher globally. iHeartMedia also leads the audio industry in analytics and attribution technology for its marketing partners, using data from its massive consumer base.The Data Scientist will provide research, modeling, analysis, and guidance using Advanced Analytics and Data Science techniques to develop and support data and model-driven decision making through leading-edge business solutions. The Data Scientist will engage directly with business and technology partners to research, identify, and seek out information, facts, and data, and will conduct and promote scientific, inquisitive, and innovative approaches to business decision problems and technical solutions.Responsibilities:Demonstrate passion about using data assets and mathematical modeling to optimize systems, processes, and products across iHeartMediaUse emerging tools and technology to develop advanced analytics models and automation in content programming, ad sales and operations, consumer insights, music research, audience attribution, demand and revenue forecasting, and other areas of the companyAssist or lead the formulation, calibration, validation, and implementation of predictive analytics, statistical, and machine learning modelsEmploy a pragmatic approach to evaluate new algorithms and technologies for positive impact within iHeartMediaCommunicate complex solutions and ideas to a variety of stakeholders (other team members, IT leadership, and business leaders) in easily understandable languageWork on a number of projects as a member of the project team and/or as an individual contributorWrite code that meets standards and delivers desired functionality using agreed upon technologyParticipate in system and user acceptance testingParticipate in project planning sessions to gather user requirementsAssist in the preparation of time estimates for project schedulesTroubleshoot production problems within area of expertiseUtilize and stay current in programming languages and software technologyQualifications:Master’s Degree in Statistics, Applied Mathematics, Operations Research, Industrial Engineering, or a related analytical field – Ph.D. desired3+ years of industry experience in a data science, machine learning, or predictive analytics role, formulating and implementing predictive analytics models, or in an optimization or operations research related role, formulating and implementing large-scale mathematical programming modelsA demonstrable scientific foundation and understanding of concepts in area of expertise: for predictive analytics this includes theoretical statistics, estimation theory, consumer choice modeling, machine learning, etc., and for operations research this includes linear and discrete optimization, nonlinear optimization, goal programming, and metaheuristics, as well as extensive experience with algebraic modeling languages and optimization solvers such as XPRESS, CPLEX, or GurobiSolid programming skills in a general-purpose language and expertise in Python or RExceptional analytical, decision-making, and problem-solving skills as well as solid communication and presentation skills with technical and non-technical audiencesExperience and understanding of software development practice concepts and technology obtained through formal training and/or work experienceLocationSan Antonio, TX: 20880 Stone Oak Parkway, 78258Position TypeRegularThe Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity or expression, religion, disability, ethnicity, national origin, marital status, protected veteran status, genetic information, or any other legally protected classification or status.Our organization participates in E-Verify. Click here to learn about E-Verify.Current employees and contingent workers click here to apply and search by the Job Posting Title.",aus,ds
8,SparkCognition,Information Technology,4.1,Data Scientist,"Austin, TX",$92K - $148K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4341&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_37453bab&cb=1618181013957&jobListingId=4001080196,"Services, Data Scientist

SparkCognition is an AI leader that offers business-critical solutions for customers in energy, oil and gas, manufacturing, finance, aerospace, defense, and security. A highly awarded company recognized for cutting-edge technology, SparkCognition develops AI-powered, cyber-physical software for the safety, security, reliability, and optimization of IT, OT, and the Industrial IoT. In order to deliver value to our customers, we provide solutions that address complex customer problems.

The Services team is looking for a Data Scientist to join us in ensuring that our customers value from their engagement with us. As a Data Scientist, youll bring your knowledge and proven data science expertise to design and build machine learning-based solutions that help our customers make well-informed decisions.

Qualified candidates are deeply analytical with keen understanding of business process and programs and the ability to translate data and insights. They will have a track record of driving successful data science initiatives for business and customer facing outcomes.

This is a highly visible role that offers significant professional development opportunity, as well as the opportunity to meaningfully contribute to SparkCognitions success and that of its customers.

Responsibilities

Partner with other data scientists and project teams in developing and applying ML expertise in developing and delivering novel customer solutionsIndependently and effectively engage with external technical stakeholders and subject matter experts to understand and solve critical business problems through the application of cutting-edge artificial intelligenceDesign and deploy machine learning models for commercial and industrial applications, such as anomaly detection, prescriptive maintenance, and fraud detectionLead all phases of the data science process from data exploration and processing, feature selection and engineering, model training and testing, and information synthesisMaintain and apply deep understanding and application of all relevant SparkCognition products / technologies to support ongoing projects and proposal workUse and/or pioneer procedures and/or automated toolsets to more efficiently and effectively perform data science activitiesContribute to AI product development and key data science research areas, internally and externally

Requirements

Strong understanding of Data Science, including basic elements of machine learning, statistics, probability, and modeling.Experience with Data Science programming languages, such as Python, R, MatlabExperience with machine learning frameworks, such as PyTorch, TensorFlow, Theano, and Keras. Applied knowledge of ML techniques/algorithms including: linear models, neural networks, decision trees, Bayesian techniques, clustering, and anomaly detectionExperience managing large volumes of data (terabytes or more)Experience with participating in and/or leading project teams, specifically data science teamsStrong written and verbal communications, ability to translate complex technical topics to internal and external stakeholdersAbility to form strong working relationships with team members, cross departmentally, customers' technical teams, and executive leadershipDegree in Computer Science, Statistics, Physics, Mathematics, Engineering, or a related scientific discipline

Preferred Qualifications

Graduate or Doctorate degree (or equivalent experience) in one of the fields aboveExperience with distributed computing, such as Hadoop, Spark, or an MPP environmentExperience with developing application on full stack of HTTP, JSON, REST, React, Java/C#, SQL and no-SQL databasesExperience with Natural Language ProcessingPrior work experience in one or more of the following industries: Aerospace, Automotive, Consumer Packaged Goods, Manufacturing, Supply Chain, Oil & Gas, Utilities

SparkCognition is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and/or expression, national origin, protected veteran status, disability or genetics and will not be discriminated against on the basis of such characteristics or any other status protected by the laws or regulations in the locations where we operate. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@sparkcognition.com.

Powered by JazzHR",aus,ds
9,CACI,Aerospace & Defense,3.8,ELINT Data Analyst,"Austin, TX",$44K - $81K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044074&s=58&guid=00000178c31ac00685cfaabd28b23334&src=GD_JOB_AD&t=SR&vt=w&cs=1_97d6a53c&cb=1618181013957&jobListingId=4030263790,"Job DescriptionCACI delivers industry leading Signals Intelligence and Electronic Warfare (SIGINT/EW) products that enable our nation’s tactical warfighters to effectively utilize distributed grids of networked sensors, assets, and platforms for a variety of critical national security driven missions. We are looking for talented, passionate Engineers, Scientists, and Developers who are excited about using state of the art technologies to build user-centric products with a profound impact to the US defense and intelligence community. We are seeking to grow our highly capable engineering teams to build the best SIGINT products in the world. The successful candidate is an individual who is never satisfied with continuing with the status quo just because “it’s the way things have always been done”.What You’ll Get to Do:As an ELINT Data Analyst, you will be responsible for analysis, insight, advice, and technical guidance on complex analytical problems; specifically on sophisticated signal and weapon system problems. You will take an active role in analysis on new radar technologies, EA signals, P-Cubed analysis, and system vulnerability assessments based on sound engineering judgment. If you are someone who takes pride in solving complex problems this is the role for you. You should be passionate about finding innovative ways to incorporate data driven, analytical techniques to continuously improve our products.More About this Role:Duties and Responsibilities:Knowledge of Technical ELINT analysis tools and resourcesStrong knowledge of radar functions, pulse level detail, and general system familiarityDesign and develop analytical tools and software while employing best practices such as proper unit testingPrepare engineering analysis of projects and contribute technical content to proposal and planning efforts.Conduct rigorous statistical analysis for large sets of intelligence products (e.g., SIGINT, FISINT, ELINT, and PROFORMA) for purposes of quality assurance as well as design of improved collection/processing methodsDefine statistical metrics which quantify the performance of collection assets, processing algorithms, and data types. Design and implement software to calculate the defined metrics.Education:Typically requires a Bachelor’s degree in Computer Science, Electrical Engineering, Mathematics, Physics or equivalent and 5-7 years of experience in Technical ELINT signals analysis.Experience:Typically requires 2-4 years of in one or more Technical ELINT Analysis tools such as Aspen, Martes, ESP, and mathematical scripting languages such as MATLAB, Python, Scilab, etc.Required Skills:Willingness to research, determine, learn, and apply the best technology for a given application.Linux/Unix proficiencyStrong mathematical/statistical skillsStrong foundation in data analysis, inspecting and modeling data to improve current systems or design new systemsUS Citizenship required along with the ability to secure and retain a security clearance.Clearance highly preferred but not required.Desired Certifications:Familiarity with digital signal processing associated with modern signalsExperience with statistical modelingBackground or interest in data-driven decision making and analyticsCandidates who meet previous requirements with a Bachelor’s degree in Computer Science, Electrical Engineering, Mathematics, Physics, or equivalent and have greater than 5 years of experience will also be considered.Familiarity with software defined radio (SDR) and related signal processing conceptsFamiliarity with Radio Frequency (RF) conceptsWhat We Can Offer You:We’ve been named a Best Place to Work by the Washington Post.Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.We offer competitive benefits and learning and development opportunities.We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.Job LocationUS-Austin-TX-AUSTINCACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",aus,ds
