,company,industry,rank,job_title,location,salary_range,link,description,search_city,search_job
0,Amobee,Business Services,3.8,"Software Engineer, Data Systems (Remote)","Austin, TX",$62K - $129K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1182935&s=149&guid=00000178e78aa0d9bc68a5cd62a1c064&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_8f244962&cb=1618792326164&jobListingId=4006018599,"The Software Engineer position in Amobee's Platform Data team is a hands-on role that contributes to Amobee's success through expertise in large-scale systems and advanced database architecture. You will leverage the Hadoop ecosystem to create the next generation of our analytics product. Qualified individuals will have a solid background in the fundamentals of computer science, distributed computing and large-scale data processing.ResponsibilitiesBuild BigData systems – work on improving and adding new functionality to Amobee’s Data Systems backbone.Design and implement features evolving our online advertising and data management product offerings.Design, implement our proprietary cutting edge Hadoop/Spark based systemsScale up and tune our syndication pipeline. Challenges come in the form of using multiple syndication protocols, concurrency, data scale, and computational efficiencyLarge-scale data ingestion and integration – design, implement scalable ETL processes to collect and store large amount of data from multiple data centers and diverse external partnersCollaboration on requirements – Work with the Engineering, Product Management and Business Intelligence teams to come up with features that would help us and our clients be more productive and improve the bottom lineKeep it running – Help troubleshoot application operational issuesRequired QualificationsA degree in Computer Science or related fieldExperience with Java or Scala required; experience with C++ or C# is acceptableExperience with Hadoop (MapReduce, Spark), or similar, large-scale data processing systems is preferred2+ years of relevant experience (appropriate PhD program project work acceptable)Experience with LinuxProficiency in relational and NoSQL databases is preferredSome experience with distributed systems, advanced applications building, large-scale data processing or application partitioningExperience with AWS and working knowledge of AWS data management, DevOps processes and technologies (Jenkins/Travis, Docker, Kubernetes, monitoring systems, etc) is a plusGood understanding of Object Oriented programming and design patternsStrong knowledge of common algorithms and data structuresMust be hard working, team oriented, bright, creative, cooperative, and an exceptional problem solverSolid understanding and working knowledge of modern operating systems and/or application scalability techniques is a plus#LI-AR1About Amobee The world’s leading independent advertising platform, Amobee unifies all advertising channels—including TV, programmatic and social—across all formats and devices. We provide marketers with streamlined, advanced media planning capabilities powered by in-depth analytics and proprietary audience data. Our platform and technology, provides the most advanced advertising solutions for the convergence of digital and advanced TV— including linear TV, over the top, connected TV, and premium digital video. Enabling advertisers to plan and activate across more than 150 integrated partners, including Facebook, Instagram, Pinterest, Snapchat and Twitter. Amobee has been named to Fortune’s Top 10 Best Workplaces in Advertising and Marketing. Amobee’s platforms have been widely recognized amongst our industry winning numerous awards in technology innovation, see all Amobee Awards. We are a wholly owned subsidiary of Singtel, one of the largest telco companies in the world, reaching over 700 million mobile subscribers in 21 countries. Amobee operates across North America, Europe, Middle East, Asia and Australia. For more information, visit amobee.com or follow @amobeeIn addition to our great environment, we offer a competitive base salary, employee development programs and other comprehensive benefits. Please send a cover letter along with your resume when applying to the position of interest located at Amobee.com. We are an Equal Opportunity Employer. No phone calls and no recruiting agencies, please.",aus,de
1,recruitAbility,N/A,5,"Data Engineer - SQL, Azure Cloud","Austin, TX",$60K - $117K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044072&s=149&guid=00000178e78aa0d9bc68a5cd62a1c064&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_aa4bbafe&cb=1618792326044&jobListingId=4060424391,"Our client, headquartered in the “Silicon Hills” of Austin, Texas, offers an experience as unique as the city in which it operates. The firm supports more than 1,700 independent financial advisors in delivering comprehensive securities and investment advisory services to their clients. With a culture rich in reinvention and advisor advocacy, they have developed integrated business management technology that, combined with its personalized consulting services, offers exceptional scale and efficiencyThey are looking for a passionate Data Engineer to join our growing Data and Analytics team. Join this exciting journey in modernizing their legacy solutions to the next-generation cloud platform. You will be responsible for working in a cross-functional team to expand, optimize, and improve overall data quality and set up next-generation data orchestration using modern cloud tools and technologies. As a Cloud Data Engineer, you will be designing and building secure and resilient architectures, with the goal of providing actionable insights to our Advisors for them to optimize their business.Primary Responsibilities of the Data EngineerDesign and develop data pipelines to extract data from a wide variety of data sources using Azure, Snowflake Cloud, and cloud-native technologies.Build a data model to get actionable insights from data, operational efficiency, and other key business performance metrics.Design and manage inbound and outbound data processes and monitoring. Work with the data provider to bring in new feed into our data eco-system.Enjoy working in Agile as part of a scrum team and deliver high-quality products incrementally in an interactive manner.Write Test Driven Development based code to meet overall data quality standards as defined by the users.Automate the data testing processes and integrate them with monitoring systems.You are a team player who enjoys working with and supporting an Application Engineering team, DBA, Infrastructure, and Project Management Office.Analyze existing systems (including legacy) and data sets to help Business Analysts define the functional and non-functional requirements.Meet with the business users, assist with data-related technical issues, and support their data infrastructure needsPrimary Requirements for the Data EngineerStrong experience with NoSQL database, including PostgresBackground in working with Azure Cloud Services: Data Factory, SQL database, Functions, Data Lake, Databricks, Logic Apps, and Azure Automation.Fluent in object-oriented and functional script language: Python, Scala, and C#.Advanced working knowledge of SQL Server database - writing advanced SQL script, profiling, and optimization.Working knowledge of Business Intelligence tools: Microsoft Integration Services, Reporting Services, and Analysis Services, as well as PowerBI.Experience with other Big Data tools such as Spark, Snowflake, and KafkaPreference for background in Financial Services, ideally in the Wealth Management/Independent Broker-Dealer/RIA industryBachelors/Masters in Computer Science, MIS/Information Management, Engineering or related fieldWhat’s in it for you as a Data Engineer with a growing company?Excellent salary and comprehensive benefits package for this full-time positionA world-class team of professionals, casual work environment, and rich cultureChallenging projects now and on the Technology Roadmap going out several yearsCareer path, training support, and opportunities for advancement withinAward-winning, a stable leader in their market space and still growingA solid compensation plan includes comprehensive benefits and a bonus planFull health, vision, dental. 401(k) plans along with a host of voluntary plans such as car insurance, legal services, and more.A brand new state of the art building in Southwest Austin with a basketball court, volleyball court, baseball field, walking trails, unlimited coffee, tea, and sparkling waterINDSJ",aus,de
2,Neos Consulting,N/A,-1,Sr. Data Engineer,"Austin, TX",$125K - $134K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044072&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&cs=1_77c7f3c7&cb=1618792326069&jobListingId=4063838792,"Neos is a leading Austin-based IT Staffing and Consulting firm. Neos was recognized as a 2019 Best Places to Work inAustin by the Austin Business Journal, and also recognized as one of the fastest-growing companies in America two yearsin a row by Inc. MagazineNeos is seeking a Sr. Data Engineer for a long-term project with our client in Austin, Texas.******** Telecommuting is currently in place until the client resumes normal office operations*************The Data division is part of the OAG’s technology organization and is responsible for building data assets to provide value added products and services to drive innovation for our partners and clients. As a Senior Data Engineer, you will help design, enhance and build solutions dealing with real-time data in a fast-paced environment working with/on cutting-edge data and cloud technologies. You will work with colleagues who will support and challenge you daily. We believe in self-managing Agile teams who build products end to end, focusing on unit testing, code reviews and continuous integration for excellent code quality.The ideal Senior Data Engineer is a collaborative leader skilled in designing and constructing highly scalable data focused applications. You are committed to data automation and integrity, are highly analytical, and can work on multiple projects at once. You will use your skills to engineer, automate, and manage data systems across multiple cloud services platforms and toolsets. Additionally, you will act as a mentor to junior team members and coach them on best practices and engineering standards. The team culture of working collaboratively, cross-functionally, using new technologies combined with the work/life balance provided by Texas OAG are core reasons people enjoy working as part of the Data Division.II. CANDIDATE SKILLS AND QUALIFICATIONSMinimum Requirements:Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.YearsRequired/PreferredExperience8RequiredExperience in large-scale IT Project/Product delivery with at least 3 years of work experience in current data streaming, messaging, management, and database technologies8RequiredAbility to establish and always maintain effective and professional working relationships with others in the course and scope of conducting business8RequiredExcellent communication, problem-solving, and organizational skills5RequiredStrong data integrity, analytical, and multitasking skills4PreferredGraduation from an accredited four-year college or university with major coursework in Computer Science or Engineering3PreferredExperience creating producer and consumer applications with Kafka2PreferredExperience with designing and building data platforms2PreferredExperience in tuning and troubleshooting streaming/messaging platforms2PreferredExperience coding and scripting (Python, Java, Scala) and design experience2PreferredExperience with ELT methodologies and tools2PreferredHands-on experience with AWS and/or Azure2PreferredExperience with KStreams and KSQL2PreferredExperience with designing and automating build and deployment solutions/process for data solutions2PreferredFamiliarity with data visualization, warehouse, and analytics tools/platforms such as Qlik, SAS Viya, Kibana, Snowflake2PreferredExperience with streaming/messaging platforms (Kafka, MQ, RabbitMQ, Elk, Elasticsearch)1PreferredBasic knowledge of database technologies (PostgreSQL, Vertica, Redshift, etc.)1PreferredAble to work independentlyIND123",aus,de
3,Neos Consulting,N/A,-1,"Data Engineer, Platform & Infrastructure","Austin, TX",$86K - $110K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044072&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&cs=1_b8bf083f&cb=1618792326072&jobListingId=4063838824,"Neos is a leading Austin-based IT Staffing and Consulting firm. Neos was recognized as a 2019 Best Places to Work inAustin by the Austin Business Journal, and also recognized as one of the fastest-growing companies in America two yearsin a row by Inc. MagazineNeos is seeking a Data Engineer for a Platform and Infrastructure team for a long-term project with our client in Austin, Texas.******** Telecommuting is currently in place until the client resumes normal office operations*************Working as part of the Platform & Infrastructure Data Engineering team to engineer, install, configure, standardize, and automate best in class data services and capabilities in a secure fashion for the organization. The ideal Advanced Data Engineer is a collaborative leader skilled in designing and constructing highly scalable data management systems. You are committed to data automation and integrity, are highly analytical, and can work on multiple projects at once. You will use your skills to engineer, automate, and manage data systems across multiple cloud services platforms and toolsets. Additionally, you will act as a mentor to junior team members and coach them on best practices and engineering standards. The team culture of working collaboratively, cross-functionally, using new technologies combined with the work/life balance provided by Texas OAG are core reasons people enjoy working as part of the Data DivisionII. CANDIDATE SKILLS AND QUALIFICATIONSMinimum Requirements:Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.YearsRequired/PreferredExperience6RequiredExperience in large-scale IT Project/Product delivery with at least 2 years of work experience in current data streaming, messaging, management, and database technologies6RequiredAbility to establish and always maintain effective and professional working relationships with others in the course and scope of conducting business6RequiredExcellent communication, problem-solving, and organizational skills4PreferredStrong data integrity, analytical, and multitasking skills4PreferredGraduation from an accredited four-year college or university with major coursework in Computer Science or Engineering2PreferredExperience with designing and building data platforms and setting up data tools2PreferredExperience with streaming/messaging platforms (Kafka, MQ, RabbitMQ, Elk, Elasticsearch)2PreferredExperience in tuning and troubleshooting streaming/messaging platforms2PreferredExperience creating producer and consumer applications with Kafka2PreferredExperience coding and scripting (Python, Java, Scala) and design experience2PreferredExperience with ELT methodologies and tools2PreferredHands-on experience with AWS and/or Azure2PreferredExperience with KStreams and KSQL2PreferredExperience with designing and automating build and deployment solutions/process for data solutions/tools/platforms2PreferredFamiliarity with data management, visualization, warehouse, and analytics tools/platforms such as Qlik, SAS Viya, Kibana, Snowflake, Qualtrics, and Spirion1PreferredBasic knowledge of database technologies (PostgreSQL, Vertica, Redshift, etc.)1PreferredAble to work independently IND123",aus,de
4,Enverus,"Oil, Gas, Energy & Utilities",3.9,Senior Site Reliability Engineer,"Austin, TX",$119K - $163K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0095046e&cb=1618792326186&jobListingId=3804344327,"Senior Site Reliability EngineerWhy YOU want this positionSince our founding as a groundbreaking provider of oil & gas data, we have evolved our solutions to cover oil & gas analytics, trading & risk, and business automation for customers across the energy industry. Enverus represents this growth while bringing us closer together as one team. Enverus delivers business-critical insights to the global energy industry through a state-of-the-art SaaS platform built on industry-leading data and energy analytics. Our solutions deliver value across the entire energy value chain, empowering customers to be more agile, efficient, and competitive. The range of energy industry participants we serve includes exploration and production (E&P) companies and related businesses such as oilfield services, midstream, capital markets, power generators and utilities, energy traders, and downstream commercial & industrial energy consumers.We are currently seeking a highly driven Senior Site Reliability Engineer to join our Technology Engineering team in Austin, TX. This role offers the opportunity to join a rapidly growing company delivering industry-leading solutions to customers in the world’s most dynamic and fastest-growing sector. Enverus is the right company at the right time.Performance ObjectivesWork in a team that manages, deploys, and improves our Commodity Data Solutions infrastructure and customer installations.Your team will be responsible for keeping our infrastructure humming as new releases and maintenance updates are rolled outYou will help organize, secure, and automate existing infrastructure and deploymentsYou will work closely with developers to provide feedback and drive operational improvements within our products and operations infrastructureYou will be responsible for ensuring that our platform is stable and balancedMaintain high site uptime, while embracing rapid change and growthScale infrastructure to meet increasing demand and evolving technologyHelp the dev teams working on our codebases realize zero downtime deploymentsDevelop and improve operational practices and proceduresImplement, monitor, and maintain CI/CD frameworksYou will coordinate and participate in on-call rotationsAutomate, automate, automateCompetitive Candidate ProfileYou have excellent communication and collaboration skillsYou demonstrate the ability to succeed in a high-pressure environment with rapidly changing prioritiesYou are an excellent problem solver, and willing to roll up your sleeves to take on any issue thrown your wayYou have a desire not just to resolve problems, but to fully understand them and prevent them in the future5+ years of professional Windows and Linux server administration3+ years of Amazon Web Services (AWS) administration2+ years of experience within a high-performance, 24x7, DevOps or SysOps teamYou seek out opportunities to improve, fix bugs, and challenge assumptionsYou have experience working with global teams (North America, Europe, Asia)You have experience with the following technologies:DockerContainer Orchestration (Nomad, Kubernetes, ECS)Configuration Management tools (Chef, Puppet, Ansible)Infrastructure as Code (Terraform, CloudFormation)ActiveMQWildflyJava, Ruby, or Python programming experience is a plusYou have proven experience in mentoring more junior team membersYou prefer to lead the charge, not just keep up with it",aus,de
5,LPL Financial,Finance,3.8,Senior DevOps Engineer,"Austin, TX",$100K - $124K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&cs=1_e5b1a1ac&cb=1618792326186&jobListingId=4060116956,"Are you passionate about implementing industry leading Enterprise wide DevSecOps solutions? Are you excited about scripting who loves to develop CI/CD tools to enable the developers to deliver efficiently with quality?If yes, then this could be the role for you!We have an exciting opportunity to join our Technology organization as a Senior DevOps Engineer supporting various Advisor & Client Technology. This team oversees trading, fee billing, data, service transformation by delivering a transformed multi-channel service experience to our advisors leveraging artificial intelligence, machine learning, straight through processing, and other innovative capabilities.Responsibilities:Provide technical leadership and mentoring to teammates through technical design of CI/CD processes and process orchestration, code reviews and implementation, adhering to industry standard best practices.Create standards and tools that enable faster delivery of software features with governance enforcement of coding and test standardsDrive implementation of CI/CD to enable frictionless delivery of changes to production with quality in collaboration with Engineering and Infrastructure teams.Responsible for establishing security and operations governance enforcement as part of the tooling framework to ensure stability and reliability.Implement tools that integrate with the organization change control platform providing greater transparency on the changes adhering to the audit/compliance guidelines.What does your success look like in the first 90 days?Learn the LPL key components including architecture, operations & tooling, how domain teams interact with the DevSecOps team and how the integrations are done between the CI/CD pipelines. Understand the functionality and operational characteristics of the components being worked on. Explore the options to enhance the reliability of various components and ready to take charge on building/improving the CI/CD solutions for the developer community. Demonstrate proactive and corrective actions as needed.What are we looking for?We want strong collaborators who can deliver a world-class client experience. We are looking for people who thrive in a fast-paced environment, are client-focused, team oriented, and are able to execute in a way that encourages creativity and continuous improvement.Requirements:6+ years overall technology experience with min 3 years of DevOps experience with SDLC3+ years’ experience working with infrastructure engineers and software development teams.3+ years’ experience with Microsoft stack including PowerShell scripting2+ years of experience with AWS and ability to design AWS deployment pipelines.Strong working knowledge of one or more of the following listed below:GitHub, TFS/Azure DevOps, TeamCity, Artifactory, Octopus Deploy, Ansible, Puppet, Chef.Software security standards and best practicesConcepts such as DevOps, Continuous Integration/Delivery, Test Driven Development, Scaled Agile.Git source control implementation and common branching strategiesCore Competencies:Ability to articulate the vision influencing the adoption of the DevSecOps culture promoting effective delivery.Excellent soft skills; service oriented, ability to work with software and infrastructure engineers as well as non-technical clients.Effective at planning, prioritization, task execution and time management.Comprehensive knowledge of containerization and related tooling to integrate container applications into CI/CD.Expert level scripting with PowerShell and Bash, can handle any DevOps scripting task independently.Solid understanding of practices to provide administration, maintenance, troubleshooting, performance optimization and stability support for critical DevOps supported software and tooling under minimal guidance.Can take primary ownership of the DevOps CI/CD pipelines and custom solutions of the major platforms such as Mulesoft, ForgeRock, Appway, FICO/DMS, NICE.Preferences:AWS or Azure Certification",aus,de
6,BlackBerry,Information Technology,3.4,Senior / Principal Big Data Engineer,"Austin, TX",$104K - $135K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&cs=1_cb7effa1&cb=1618792326185&jobListingId=4007426293,"Worker Sub-Type:Regular Job Description:*We are open to remote applicants.At BlackBerry, we develop state-of-the-art machine learning algorithms to solve long-standing problems in computer security. We discover novel ML techniques and applications, build systems to handle petabytes of ludicrously high dimensional data, and protect people from bad actors.We’re looking for a Senior/Principal Big Data Engineer to work with a team of 20 scientists and engineers and lead efforts to automate the model training data pipelines underlying all of our security products across millions of endpoints as well as in the cloud. This position will partner with many peer engineering, product, and research teams to define requirements and deliver insights, so written and in-person communication skills are extremely important.WHAT YOU WILL DODesign, build, and maintain scalable, automated data pipelines in Python and ScalaDesign, build, and maintain big data products for use within our AWS cloud environmentRegularly contribute to documentation of our data pipelines and productsLead technical efforts, including design and code reviews, and mentor staff appropriatelyCommunicate with internal teams and stakeholders to understand project requirementsWHO ARE WE LOOKING FOR?Experience developing and scaling big data processing using Scala and SparkExperience writing and maintaining production-grade Python in a collaborative teamExperience automating infrastructure to build and maintain big data pipelinesExperience leading technical projects and mentoring junior team membersExperience with software build and release processes, unit testing, version control, etc.Excellent written and verbal communicationSolid understanding of the *nix command line5+ years in industry with a Master’s or 8+ years with a Bachelor’s degreeABOVE AND BEYONDExperience using AWS (S3, EMR, Batch, Athena, Glue Data Catalog, etc.)Experience with big data catalog technologies like the Hive MetastoreExperience managing Apache Spark clustersExperience building and using Docker containersJob Family Group Name:Product DevelopmentScheduled Weekly Hours:40",aus,de
7,BigCommerce,Information Technology,4.2,Senior Applications Security Engineer,"Austin, TX",$87K - $140K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044074&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2b81fc10&cb=1618792326185&jobListingId=4059698709,"BigCommerce is disrupting the e-commerce industry as the SaaS leader for fast- growing, mid-market businesses. We enable our customers to build intuitive and engaging stores to support every stage of their growth.BigCommerce is seriously growing its information security team, get in whilst the Security team is still small and you'll have the ability to influence the culture and direction moving forward.As the BigCommerce e-commerce SaaS platform handles information at a large scale, we need to anticipate and protect against attackers targeting BigCommerce or our customerOur engineers are called on to wear many hats, you'll be very well rounded, with experience as a software developer, penetration tester, and able to work independently to provide technical expertise to other software developers.Named a ""Best Place to Work"" in Austin and Sydney, ""Best and Brightest"" place to work in San Francisco is looking for a full-time Senior Applications Security Engineer who wants to make an impact to every level of society through powering innovators, creative thinkers, entrepreneurs and business owners around the world to be successful at each stage of their business.What you'll doRespond to information security incidents, providing technical expertiseProvide security guidance and experience to BigCommerce engineering teamsReview project technical designs and stay involved through their implementation to assist BigCommerce engineering staff with the finer points of application securityHelp build internal security tooling, to help us be proactive in the battleUtilise data to help generate insights into threats, and build solutionsMentoring team members in best practice around information security standardsRegular and ongoing pen testing of BigCommerce's changing environmentEvangelize security within BigCommerce and be an advocate for BigCommerce customersProtect BigCommerce Merchants, Shoppers and the companyWho you areBachelor's degree in CS, EE or MIS; or equivalent experienceGood understanding of how web works, Web Application Security concepts, threats, exploits and preventionSkills to Test, Triage, review and provide recommendations to vulnerabilities3 plus years of experience in application security-related fields (code reviews, application penetration testing, security engineering)Passionate about security and willingness to learn, unlearn and relearn if neededKnowledge on development and integration tools and technologies(Ex. CI/CD)2 plus years of software development experience in PHP, Ruby, Java, or similar relatable technology skill-setThe ability to explain security issues to developers, engineers and productStrong communicator with a bias towards honesty and transparencyExperience working on global teamsOur Hiring Processes Might IncludeWe want to see your problem-solving and analytical skills. Be prepared to write good, clean, scalable code. You don't need to know our entire stack, but we're looking for practical experience, someone who can solve production problems in the cloud.Recruiter Phone ScreenHiring Manager ScreeningFinal Team InterviewNote: Visa Work Authorization Sponsorship Supported and Relocation Assistance Provided#LI-GC1INDSPDiversity, Equity & Inclusion at BigCommerceWe have the opportunity to build not only a great business but a great company, with soul. Our beliefs and commitment to diversity, equity and inclusion are a central part of achieving that.Our dedication to DEI is grounded in two things: a moral belief in the dignity, value, and potential of every individual, and a practical belief that diverse, inclusive teams will create the best outcomes for our customers, partners, employees, and company. We welcome everyone to be a part of our journey.Current BigCommerce Employees: Please use the internal job board to apply for openings",aus,de
8,Computer Services Incorporated,Finance,4.1,Software Engineer - .Net Core,"Austin, TX",$59K - $87K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_303ad8f6&cb=1618792326185&jobListingId=4062546739,"Software Engineers at CSI work in a team environment to research, design, code, test and maintain software solutions. You will work cross functionally to ensure end user requirements are met and CSI’s goal of providing innovative technology solutions to our customers is accomplished.In this role the Software Engineer will be a key contributor in the continuing evolution and expansion of our core applications to highly scalable, distributed, and resilient to four 9’s. She/He will be responsible for delivery of high value code that is maintainable, testable, operable, and secure. We are looking for a contributor comfortable at multiple levels - hands on coding, troubleshooting, and innovation.Ideal candidates have a background building and operating SAAS platforms using the Microsoft technology stack with modern services-based architectures.CSI builds and runs software in a sane, repeatable way - everyone contributes.Responsibilities:Participate in all phases of our Agile/SCRUM SDLC - working in concert with our Product, QA, and DevOps teamsCode, test and maintain applications for our customers and internal teamsStay up-to-date on emerging technologies and how they might be used to meet goalsBring new ideas to the team, teach best practices, pitch and lead adoption of changeDocuments and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, proofs of conceptContribute to feature delivery from technical design through execution and release within our iterative cycleIdentify root cause, propose solutions, and assist in the resolution of production issuesBe involved in the maintenance and updating of legacy codeDesired Skills and ExperienceCore technologies:Current .NET technologies with a focus in WCF, Web.API, ASP.net.NET Core, C#, , Node, Containers, SQL, NoSQL (Couchbase, Mongo, Cassandra, Cosmos), Javascript (Angular, Bootstrap, KO, JQuery)Comfort with working in an Agile/SCRUM environmentExperience with cloud technologies such as Azure or AWSExperience developing microservice-based architecturesExperience with Event Driven ArchitectureMicrosoft stack - IIS, MSMQ, SQL ServerKnowledge of relational database design and stored procedure development using Microsoft SQL Server 2008 and upStrong understanding of object-oriented software designExtensive use of APIs and understanding of HTTP and REST architectureStrong understanding of design patternsProven ability to work in a rapid release production environmentExperience with developing scalable software systemsExperience with Unit Testing frameworks (NUnit, XUnit, MSTest)TDD or BDDNice to have:Experience with big dataMVC, TPL and latest async/await coding standardsAutomationMachine Learning",aus,de
9,All Web Leads,Insurance,3.8,Senior Software Engineer,"Austin, TX",$93K - $111K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044077&s=58&guid=00000178e78aa0d99e03b2f9d6de0c5f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f5e4dbd2&cb=1618792326184&jobListingId=4063555157,"As our Senior Software Engineer based in Austin, TX, you will use your experience in back-end and front-end technologies to help us evolve our application software platform. You will work in an agile development environment, enhancing and extending our in-house software-as-a-service (SaaS) platform responsible for processing and managing hundreds of thousands of dollars in revenue each and every day. You will be working closely with senior engineering leaders to design robust, scalable software that meets both the immediate and future needs of our constantly evolving business environment.Just be willing to relocate to Austin, TX.Must be eligible to work in the United States. Visa sponsorship for employment will not be providedGeneral Responsibilities:Designing and implementing highly reliable components for our business-critical applicationsWorking closely with engineering leadership and key stakeholders to build new features to address business-critical needsWorking closely with our Operations team to ensure the proper implementation and configuration of software and hardware resourcesWorking closely with our QA team to ensure on-time release and product qualityParticipation in the full software development lifecycle process – “You build it, you run it.”Requirements:5+ years of experience in a back-end C# /.NET software development role with increasing responsibilitiesExperience building, tuning and supporting large scale, high-availability SaaS platformsEnjoy working within a small, fast-paced, Agile team in a TDD and CI/CD environmentExperience consuming/creating JSON-based, RESTful APIsExposure to Polyglot persistence: SQL/NoSQL (MySQL, PostgreSQL, MongoDB, Redis, etc.)Knowledge of Domain Driven Design and SOLID principlesExperience with message-based architectures (Akka, RabbitMQ, ActiveMQ, JMS)Bachelor’s degree in Computer Science, Engineering or related field* Must be eligible to work in the United States. Visa sponsorship for employment will not be providedPreferred:Exposure to Contact Center or Cloud Telephony technologyExperience with Modern JavaScript/Typescript, HTML, and CSSPrevious work with Python, Flask, and Python-based data science toolingExposure to AWS, Docker, KubernetesJob Type: Full-timePay: $92,602.00 - $188,795.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveReferral programRetirement planVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus payWork Location:One locationCompany's website:https://www.allwebleads.com/jobsWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place",aus,de
